               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.070708,            0.025453,            0.042654,           0.0026933,             0.73573,           0.0047315,           0.0011058,            0.043173,            0.011721,            0.032416,                0.01,                0.01,                0.01
                   1,            0.053666,            0.021038,            0.040762,           0.0032397,             0.98272,            0.077398,            0.019307,            0.031914,           0.0097615,            0.030479,                0.01,                0.01,                0.01
                   2,            0.045619,            0.018597,            0.039163,              0.3253,             0.23756,             0.23368,            0.063178,            0.028875,           0.0075689,            0.028895,            0.009901,            0.009901,            0.009901
                   3,            0.044308,            0.016713,            0.037847,             0.45977,             0.45537,             0.39717,             0.18008,            0.027748,           0.0067218,            0.027379,            0.009802,            0.009802,            0.009802
                   4,             0.04015,             0.01622,            0.036499,             0.44551,             0.51678,             0.46608,             0.19008,             0.02636,           0.0061671,            0.025391,            0.009703,            0.009703,            0.009703
                   5,            0.039158,            0.014656,            0.035542,             0.44039,             0.74347,             0.61781,             0.27599,            0.028615,            0.005103,            0.022038,            0.009604,            0.009604,            0.009604
                   6,            0.038826,            0.014426,            0.035807,             0.54307,             0.82199,             0.68385,             0.31186,             0.02689,           0.0053362,             0.02204,            0.009505,            0.009505,            0.009505
                   7,              0.0365,            0.013295,            0.030548,             0.57421,             0.91006,             0.68967,             0.31849,            0.028112,           0.0049286,            0.019196,            0.009406,            0.009406,            0.009406
                   8,             0.03699,            0.013345,             0.03147,             0.64733,             0.82763,             0.80982,             0.35942,            0.027579,           0.0053265,            0.016836,            0.009307,            0.009307,            0.009307
                   9,            0.035052,            0.012348,            0.028157,             0.69791,             0.95945,              0.8207,             0.44331,             0.02316,           0.0051106,             0.01657,            0.009208,            0.009208,            0.009208
                  10,            0.034352,            0.011801,            0.025727,             0.59053,             0.86861,             0.82656,              0.4491,            0.023881,           0.0048105,            0.014413,            0.009109,            0.009109,            0.009109
                  11,            0.033334,            0.012065,            0.024035,              0.6376,              0.8785,             0.86271,             0.40311,            0.026652,           0.0046511,            0.012455,             0.00901,             0.00901,             0.00901
                  12,            0.032877,            0.011936,            0.023951,             0.65165,             0.96636,             0.92749,             0.51944,            0.021678,           0.0045977,            0.010416,            0.008911,            0.008911,            0.008911
                  13,            0.033386,            0.011621,            0.019741,             0.74518,             0.86943,             0.87503,             0.46601,             0.02372,           0.0045055,           0.0099447,            0.008812,            0.008812,            0.008812
